,Unnamed: 0.1,Unnamed: 0,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,0,0,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:59,06:30,06h 31m,671.0,32 Seats available,4.8,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
1,1,1,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:50,05:35,05h 45m,384.0,42 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
2,2,2,FRESHBUS,Electric A/C Seater (2+2),11:00,17:40,06h 40m,450.0,38 Seats available,4.7,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
3,3,3,AdSri Sanvi Tours and Travels,A/C Sleeper (2+1),23:00,04:53,05h 53m,539.0,27 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
4,4,4,FRESHBUS,Electric A/C Seater (2+2),23:40,05:55,06h 15m,450.0,38 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
5,5,5,FRESHBUS,Electric A/C Seater (2+2),00:20,06:30,06h 10m,450.0,37 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
6,6,6,Svkdt travels,A/C Sleeper (2+1),23:35,05:50,06h 15m,590.0,24 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
7,7,7,AdSai RK Travels,Non A/C Seater / Sleeper (2+1),22:55,04:10,05h 15m,450.0,28 Seats available,2.8,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
8,8,8,IntrCity SmartBus,AC Sleeper (2+1),23:25,06:00,06h 35m,628.0,26 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
9,9,9,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,06:05,06h 20m,445.0,36 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
10,10,10,FRESHBUS,Electric A/C Seater (2+2),23:10,05:35,06h 25m,450.0,35 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
11,11,11,GMRK Tours and Travels,Volvo A/C Semi Sleeper (2+2),23:45,05:25,05h 40m,409.0,38 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
12,12,12,NueGo,Electric A/C Seater (2+2),10:00,16:25,06h 25m,332.0,17 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
13,13,13,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:05,06:00,06h 55m,325.0,40 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
14,14,14,FRESHBUS,Electric A/C Seater (2+2),22:50,05:20,06h 30m,450.0,35 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
15,15,15,NueGo,Electric A/C Seater (2+2),16:00,23:00,07h 00m,332.0,33 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
16,16,16,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:05,05:20,06h 15m,333.0,42 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
17,17,17,Svkdt travels,A/C Seater / Sleeper (2+1),23:35,05:30,05h 55m,479.0,33 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
18,18,18,NueGo,Electric A/C Seater (2+2),08:05,12:20,04h 15m,379.0,20 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
19,19,19,FRESHBUS,Electric A/C Seater (2+2),13:05,19:25,06h 20m,450.0,40 Seats available,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
20,20,20,NueGo,Electric A/C Seater/Sleeper (2+1),22:00,05:10,07h 10m,332.0,30 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
21,21,21,FRESHBUS,Electric A/C Seater (2+2),12:25,19:05,06h 40m,450.0,41 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
22,22,22,Svkdt travels,A/C Sleeper (2+1),23:35,05:50,06h 15m,549.0,18 Seats available,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
23,23,23,NueGo,Electric A/C Seater (2+2),12:00,18:25,06h 25m,332.0,36 Seats available,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
24,24,24,NueGo,Electric A/C Seater/Sleeper (2+1),23:00,06:00,07h 00m,332.0,33 Seats available,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
25,25,25,Sri KVR Travels,A/C Sleeper (2+1),23:35,05:15,05h 40m,499.0,25 Seats available,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
26,26,26,NueGo,Electric A/C Seater (2+2),21:30,04:20,06h 50m,332.0,29 Seats available,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
27,27,27,Sri Durga Malleswari Travels,A/C Sleeper (2+1),23:10,05:25,06h 15m,609.0,21 Seats available,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
28,28,28,NueGo,Electric A/C Seater (2+2),22:35,05:15,06h 40m,341.0,31 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
29,29,29,NueGo,Electric A/C Seater (2+2),23:15,06:35,07h 20m,384.0,35 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
30,30,30,NueGo,Electric A/C Seater (2+2),13:30,20:10,06h 40m,332.0,33 Seats available,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
31,31,31,NueGo,Electric A/C Seater (2+2),11:00,17:25,06h 25m,332.0,39 Seats available,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
32,32,32,NueGo,Electric A/C Seater (2+2),23:50,06:30,06h 40m,341.0,32 Seats available,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
33,33,33,NueGo,Electric A/C Seater (2+2),22:30,05:35,07h 05m,332.0,38 Seats available,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
34,34,34,FRESHBUS,Electric A/C Seater (2+2),11:25,18:05,06h 40m,450.0,36 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
35,35,35,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:30,06:45,07h 15m,494.0,42 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
36,36,36,NueGo,Electric A/C Seater (2+2),11:30,18:10,06h 40m,379.0,26 Seats available,4.7,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
37,37,37,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:45,05:50,07h 05m,406.0,42 Seats available,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
38,38,38,NueGo,Electric A/C Seater (2+2),15:00,21:40,06h 40m,379.0,36 Seats available,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
39,39,39,NueGo,Electric A/C Seater (2+2),22:30,06:00,07h 30m,332.0,36 Seats available,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
40,40,40,NueGo,Electric A/C Seater (2+2),23:30,06:30,07h 00m,332.0,32 Seats available,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
41,41,41,Tirumala Xpress,A/C Sleeper (2+1),23:00,05:50,06h 50m,499.0,28 Seats available,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
42,42,42,LVP Travels,A/C Seater / Sleeper (2+1),22:19,04:45,06h 26m,560.0,24 Seats available,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
