,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,Origin,Destination
0,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:59,06:30,06h 31m,671.0,32 Seats available,4.8,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
1,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:50,05:35,05h 45m,384.0,42 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
2,FRESHBUS,Electric A/C Seater (2+2),11:00,17:40,06h 40m,450.0,38 Seats available,4.7,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
3,AdSri Sanvi Tours and Travels,A/C Sleeper (2+1),23:00,04:53,05h 53m,539.0,27 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
4,FRESHBUS,Electric A/C Seater (2+2),23:40,05:55,06h 15m,450.0,38 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
5,FRESHBUS,Electric A/C Seater (2+2),00:20,06:30,06h 10m,450.0,37 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
6,Svkdt travels,A/C Sleeper (2+1),23:35,05:50,06h 15m,590.0,24 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
7,AdSai RK Travels,Non A/C Seater / Sleeper (2+1),22:55,04:10,05h 15m,450.0,28 Seats available,2.8,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
8,IntrCity SmartBus,AC Sleeper (2+1),23:25,06:00,06h 35m,628.0,26 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
9,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,06:05,06h 20m,445.0,36 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
10,FRESHBUS,Electric A/C Seater (2+2),23:10,05:35,06h 25m,450.0,35 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
11,GMRK Tours and Travels,Volvo A/C Semi Sleeper (2+2),23:45,05:25,05h 40m,409.0,38 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
12,NueGo,Electric A/C Seater (2+2),10:00,16:25,06h 25m,332.0,17 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
