Unnamed: 0,Route_name,Route_link,Route_Name,Route_Link
74,Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,0,0
75,0,0,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
76,0,0,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
77,0,0,Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
78,0,0,Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
79,0,0,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
80,0,0,Kozhikode to Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram
81,0,0,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
82,0,0,Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
83,0,0,Kalpetta (kerala) to Bangalore,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
84,0,0,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
85,0,0,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
86,0,0,Bangalore to Kannur,https://www.redbus.in/bus-tickets/bangalore-to-kannur
87,0,0,Kozhikode to Kottayam,https://www.redbus.in/bus-tickets/kozhikode-to-kottayam
88,0,0,Kannur to Bangalore,https://www.redbus.in/bus-tickets/kannur-to-bangalore
89,0,0,Kottayam to Kozhikode,https://www.redbus.in/bus-tickets/kottayam-to-kozhikode
90,0,0,Thrissur to Kozhikode,https://www.redbus.in/bus-tickets/thrissur-to-kozhikode
91,0,0,Kozhikode to Kalpetta (kerala),https://www.redbus.in/bus-tickets/kozhikode-to-kalpetta
92,0,0,Coimbatore to Ooty,https://www.redbus.in/bus-tickets/coimbatore-to-ooty
93,0,0,Kalpetta (kerala) to Kozhikode,https://www.redbus.in/bus-tickets/kalpetta-to-kozhikode
94,0,0,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
95,0,0,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
96,0,0,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
97,0,0,Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia
98,0,0,Haldia to Kolkata,https://www.redbus.in/bus-tickets/haldia-to-kolkata
99,0,0,Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
100,0,0,Kolkata to Arambagh (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal
101,0,0,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
102,0,0,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
103,0,0,Kolkata to Bankura,https://www.redbus.in/bus-tickets/kolkata-to-bankura
104,0,0,Asansol (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/asansol-to-kolkata
105,0,0,Midnapore to Kolkata,https://www.redbus.in/bus-tickets/midnapore-to-kolkata
106,0,0,Kolkata to Asansol (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-asansol
107,0,0,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
108,0,0,Kolkata to Nimtouri,https://www.redbus.in/bus-tickets/kolkata-to-nimtouri
109,0,0,Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
110,0,0,Kolkata to Contai (Kanthi),https://www.redbus.in/bus-tickets/kolkata-to-contai-kanthi
111,0,0,Digha to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/digha-to-durgapur
112,0,0,Kolkata to Midnapore,https://www.redbus.in/bus-tickets/kolkata-to-midnapore
113,0,0,Kolkata to Nandakumar (west bengal),https://www.redbus.in/bus-tickets/kolkata-to-nandakumar
114,0,0,Kolkata to Mecheda (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-mecheda-west-bengal
115,0,0,Durgapur (West Bengal) to Digha,https://www.redbus.in/bus-tickets/durgapur-to-digha
116,0,0,Kolkata to Kolaghat,https://www.redbus.in/bus-tickets/kolkata-to-kolaghat
117,0,0,Jhargram to Kolkata,https://www.redbus.in/bus-tickets/jhargram-to-kolkata
118,0,0,Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
119,0,0,Durgapur (West Bengal) to Siliguri,https://www.redbus.in/bus-tickets/durgapur-to-siliguri
120,0,0,Midnapore to Barasat (West Bengal),https://www.redbus.in/bus-tickets/midnapore-to-barasat-west-bengal
121,0,0,Kolkata to Heria,https://www.redbus.in/bus-tickets/kolkata-to-heria
122,0,0,Kolkata to Chandipur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-chandipur-west-bengal
