bus_id,bus_name,bus_type,dur,date_dep,date_arrival,time_dep,time_arrival,star_rate,price,seat_available,route_name,loc_dep,loc_arrival,operator
26348503,IntrCity SmartBus,AC Seater / Sleeper (2+1),07h 00m,2024-08-14,2024-08-15,2024-08-14 23:25:00,2024-08-15 06:25:00,4.6,503,34,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
26058143,FRESHBUS,Electric AC Seater (2+2),06h 50m,2024-08-14,2024-08-15,2024-08-14 22:30:00,2024-08-15 05:20:00,4.6,480,20,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
27267133,GMRK Tours and Travels,Volvo AC Semi Sleeper (2+2),06h 10m,2024-08-14,2024-08-15,2024-08-14 23:45:00,2024-08-15 05:55:00,4.7,409,35,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
30631980,AdSri Sanvi Tours and Travels,AC Sleeper (2+1),05h 52m,2024-08-14,2024-08-15,2024-08-14 23:25:00,2024-08-15 05:17:00,4.7,764,22,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
28039571,IntrCity SmartBus,AC Seater / Sleeper (2+1),06h 15m,2024-08-14,2024-08-15,2024-08-14 23:45:00,2024-08-15 06:00:00,4.7,503,30,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
26306358,FRESHBUS,Electric AC Seater (2+2),06h 35m,2024-08-14,2024-08-15,2024-08-14 17:30:00,2024-08-15 00:05:00,4.6,450,25,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
26306352,FRESHBUS,Electric AC Seater (2+2),06h 55m,2024-08-14,2024-08-14,2024-08-14 16:20:00,2024-08-14 23:15:00,4.6,450,28,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
31564864,AdIntrCity SmartBus,VE AC Seater / Sleeper (2+1),06h 35m,2024-08-14,2024-08-15,2024-08-14 23:05:00,2024-08-15 05:40:00,4.7,576,33,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
24442208,IntrCity SmartBus,AC Seater / Sleeper (2+1),06h 20m,2024-08-14,2024-08-15,2024-08-14 23:50:00,2024-08-15 06:10:00,4.6,614,34,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
26584245,FRESHBUS,Electric AC Seater (2+2),06h 35m,2024-08-14,2024-08-15,2024-08-14 21:30:00,2024-08-15 04:05:00,4.5,450,26,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
26930259,FRESHBUS,Electric AC Seater (2+2),07h 00m,2024-08-14,2024-08-14,2024-08-14 10:00:00,2024-08-14 17:00:00,4.6,480,34,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
26306357,FRESHBUS,Electric AC Seater (2+2),07h 30m,2024-08-14,2024-08-14,2024-08-14 11:40:00,2024-08-14 19:10:00,4.6,450,39,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
26058144,FRESHBUS,Electric AC Seater (2+2),06h 30m,2024-08-14,2024-08-15,2024-08-14 23:25:00,2024-08-15 05:55:00,4.5,450,36,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
28937585,FRESHBUS,Electric AC Seater (2+2),05h 10m,2024-08-14,2024-08-14,2024-08-14 12:30:00,2024-08-14 17:40:00,4.6,450,36,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
31076202,Zingbus Plus,AC Seater / Sleeper (2+1),06h 50m,2024-08-14,2024-08-15,2024-08-14 22:50:00,2024-08-15 05:40:00,4.6,512,24,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
24091370,NueGo,Electric AC Seater (2+2),07h 25m,2024-08-14,2024-08-14,2024-08-14 09:35:00,2024-08-14 17:00:00,4.5,332,35,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
22301773,IntrCity SmartBus,AC Sleeper (2+1),06h 50m,2024-08-14,2024-08-15,2024-08-14 23:40:00,2024-08-15 06:30:00,4.5,933,25,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
26058141,FRESHBUS,Electric AC Seater (2+2),07h 10m,2024-08-14,2024-08-14,2024-08-14 11:00:00,2024-08-14 18:10:00,4.5,450,38,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
24576486,NueGo,Electric AC Seater (2+2),06h 15m,2024-08-14,2024-08-15,2024-08-14 21:50:00,2024-08-15 04:05:00,4.4,569,26,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
14502204,Sri Durga Malleswari Travels,AC Sleeper (2+1),07h 15m,2024-08-14,2024-08-15,2024-08-14 22:30:00,2024-08-15 05:45:00,4.5,827,16,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
26762666,FRESHBUS,Electric AC Seater (2+2),07h 05m,2024-08-14,2024-08-14,2024-08-14 05:00:00,2024-08-14 12:05:00,4.6,450,32,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
30841374,IntrCity SmartBus,AC Sleeper (2+1),05h 40m,2024-08-14,2024-08-15,2024-08-14 23:45:00,2024-08-15 05:25:00,4.7,1319,18,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
23890638,NueGo,Electric AC Seater (2+2),07h 30m,2024-08-14,2024-08-14,2024-08-14 04:30:00,2024-08-14 12:00:00,4.3,332,33,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
26306361,FRESHBUS,Electric AC Seater (2+2),06h 30m,2024-08-14,2024-08-15,2024-08-14 23:45:00,2024-08-15 06:15:00,4.3,450,36,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
26701808,NueGo,Electric AC Seater (2+2),07h 25m,2024-08-14,2024-08-14,2024-08-14 06:30:00,2024-08-14 13:55:00,4.3,341,25,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
31360510,IntrCity SmartBus,AC Seater / Sleeper (2+1),06h 45m,2024-08-14,2024-08-15,2024-08-14 23:00:00,2024-08-15 05:45:00,4.6,618,28,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
30277119,NueGo,Electric AC Seater (2+2),06h 35m,2024-08-14,2024-08-15,2024-08-14 22:35:00,2024-08-15 05:10:00,4.3,427,31,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
17088349,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),06h 35m,2024-08-14,2024-08-15,2024-08-14 23:20:00,2024-08-15 05:55:00,4.3,813,34,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
13766247,Svkdt travels,AC Sleeper (2+1),06h 54m,2024-08-14,2024-08-15,2024-08-14 23:20:00,2024-08-15 06:14:00,4.3,870,18,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
9850269,Sri KVR Travels,AC Sleeper (2+1),05h 50m,2024-08-14,2024-08-15,2024-08-14 23:45:00,2024-08-15 05:35:00,4.3,870,9,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
25994861,Yolo Bus,AC Seater / Sleeper (2+1),06h 19m,2024-08-14,2024-08-15,2024-08-14 23:24:00,2024-08-15 05:43:00,4.2,560,29,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
24144678,Sri Sai Srinivasa Travels,NON AC Seater / Sleeper (2+1),06h 57m,2024-08-14,2024-08-15,2024-08-14 22:00:00,2024-08-15 04:57:00,4.5,550,28,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
23890618,NueGo,Electric AC Seater/Sleeper (2+1),07h 30m,2024-08-14,2024-08-15,2024-08-14 23:00:00,2024-08-15 06:30:00,4.1,644,17,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
24696605,NueGo,Electric AC Seater (2+2),07h 30m,2024-08-14,2024-08-15,2024-08-14 23:25:00,2024-08-15 06:55:00,4.1,432,37,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
23890619,NueGo,Electric AC Seater (2+2),07h 25m,2024-08-14,2024-08-14,2024-08-14 14:35:00,2024-08-14 22:00:00,4.1,569,29,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
28997141,NueGo,Electric AC Seater (2+2),06h 42m,2024-08-14,2024-08-14,2024-08-14 13:00:00,2024-08-14 19:42:00,4.2,341,29,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
15669070,BSR Tours And Travels,VE AC Sleeper (2+1),06h 25m,2024-08-14,2024-08-15,2024-08-14 23:50:00,2024-08-15 06:15:00,4.6,1480,12,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
24696606,NueGo,Electric AC Seater (2+2),07h 25m,2024-08-14,2024-08-14,2024-08-14 10:35:00,2024-08-14 18:00:00,4.1,332,38,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
23890617,NueGo,Electric AC Seater (2+2),07h 30m,2024-08-14,2024-08-15,2024-08-14 22:30:00,2024-08-15 06:00:00,4.0,427,35,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
8826342,Svkdt travels,AC Sleeper (2+1),06h 50m,2024-08-14,2024-08-15,2024-08-14 23:00:00,2024-08-15 05:50:00,4.1,870,19,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
23890621,NueGo,Electric AC Seater (2+2),07h 25m,2024-08-14,2024-08-14,2024-08-14 11:35:00,2024-08-14 19:00:00,4.0,332,35,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
18934262,Sri KVR Travels,NON AC Seater / Sleeper (2+1),06h 15m,2024-08-14,2024-08-15,2024-08-14 23:30:00,2024-08-15 05:45:00,4.2,670,22,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
24696607,NueGo,Electric AC Seater (2+2),07h 20m,2024-08-14,2024-08-14,2024-08-14 08:40:00,2024-08-14 16:00:00,4.0,332,34,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
11597799,Sri Durga Malleswari Travels,AC Sleeper (2+1),07h 25m,2024-08-14,2024-08-15,2024-08-14 22:30:00,2024-08-15 05:55:00,4.1,827,19,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
27263773,NueGo,Electric AC Seater (2+2),06h 42m,2024-08-14,2024-08-14,2024-08-14 16:00:00,2024-08-14 22:42:00,4.3,341,30,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
8826341,Svkdt travels,AC Seater / Sleeper (2+1),06h 55m,2024-08-14,2024-08-15,2024-08-14 22:45:00,2024-08-15 05:40:00,4.1,620,23,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
30557304,NueGo,Electric AC Seater/Sleeper (2+1),07h 50m,2024-08-14,2024-08-15,2024-08-14 21:30:00,2024-08-15 05:20:00,4.0,653,18,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
30557307,NueGo,Electric AC Seater/Sleeper (2+1),07h 45m,2024-08-14,2024-08-14,2024-08-14 10:05:00,2024-08-14 17:50:00,4.1,332,30,Vijayawada to Hyderabad,Vijayawada,Hyderabad,private
